,A_LFQ,B_LFQ,A,B
"sp|Q86TX2|ACOT1_HUMAN,sp|P49753|ACOT2_HUMAN",19430515.77420682,10803136.805262178,19504830.022947777,10728822.556521222
sp|Q9UHD8|SEPT9_HUMAN,289089830.9886129,272597337.5336332,294439237.6141396,267247930.90810654
sp|Q16181|SEPT7_HUMAN,304128693.4610124,307789050.2787307,311036065.40515995,300881678.33458316
sp|P84090|ERH_HUMAN,127564623.58950242,106362396.71748947,139202905.4494656,94724114.85752627
sp|P52948|NUP98_HUMAN,90700287.54492883,89926696.56994967,88202199.59609514,92424784.51878336
sp|Q08945|SSRP1_HUMAN,318085677.5133651,319802504.2202709,333185492.0461656,304702689.6874703
sp|Q9Y6E2|BZW2_HUMAN,95700716.70702954,95698455.99932817,92208600.8342413,99190571.87211642
sp|P04040|CATA_HUMAN,125861765.85539433,129592969.73224688,133785709.21519247,121669026.37244871
sp|Q53EZ4|CEP55_HUMAN,1373311.6307541612,,1373311.6307541612,
sp|Q13263|TIF1B_HUMAN,456764728.1130726,457278990.7233832,506943123.1390013,407100595.6974544
sp|Q9Y383|LC7L2_HUMAN,353477722.10580987,354172794.069939,354502556.3352905,353147959.84045845
sp|Q13123|RED_HUMAN,85311165.66954108,83612571.2108622,83671504.7128862,85252232.1675171
sp|P22307|NLTP_HUMAN,130528643.35502318,124950437.19167063,129723750.47381236,125755330.07288142
sp|O43633|CHM2A_HUMAN,53515887.21915653,55927597.71889848,58057415.8375416,51386069.1005134
sp|Q969G3|SMCE1_HUMAN,41012860.7137332,39965432.66728792,39511828.75032792,41466464.630693205
sp|Q02952|AKA12_HUMAN,71131185.26206593,69435606.77494273,65435442.25829028,75131349.77871838
"P05787,sp|P05787|K2C8_HUMAN",7004814460.015615,7415392679.170545,6761761779.278903,7658445359.907256
sp|O95340|PAPS2_HUMAN,49867136.21938514,49777724.158459045,49184469.2765246,50460391.10131958
sp|Q969T9|WBP2_HUMAN,10247428.022439573,8380360.597431712,10269173.78366525,8358614.836206036
sp|Q66PJ3|AR6P4_HUMAN,25835922.334701236,23971809.930587232,24687429.191318195,25120303.073970273
sp|Q02790|FKBP4_HUMAN,634441089.0070635,641128775.27126,649993043.8830513,625576820.3952725
sp|Q8IY81|SPB1_HUMAN,13691166.29294113,11582106.30081068,13210696.72083615,12062575.87291566
sp|O60220|TIM8A_HUMAN,19190129.030470084,15371520.667744087,18896528.245198432,15665121.453015737
sp|Q96RE7|NACC1_HUMAN,10788846.32362103,11130436.90833791,10840654.823001118,11078628.40895782
sp|Q86V48|LUZP1_HUMAN,34863902.99777265,35951845.19901821,35135595.08305268,35680153.11373818
sp|P04818|TYSY_HUMAN,101638177.54762566,98082658.00921398,113116059.68232402,86604775.87451562
sp|O75347|TBCA_HUMAN,386494177.9272302,385780568.3355728,395974018.6133523,376300727.6494506
sp|P07355|ANXA2_HUMAN,2829423384.9186616,2839476645.227915,2586920643.827239,3081979386.3193374
sp|P15880|RS2_HUMAN,481061573.27680355,497159727.698004,463868404.5448135,514352896.4299939
sp|Q7Z4V5|HDGR2_HUMAN,18946461.611009818,17609226.10137617,18463620.087686203,18092067.624699786
sp|P12004|PCNA_HUMAN,547368835.4298315,524681720.87766075,549027733.1851473,523022823.12234503
sp|Q9Y6G9|DC1L1_HUMAN,76595056.3037538,72006110.26243028,78621491.71689865,69979674.84928541
sp|O15031|PLXB2_HUMAN,36274228.484184034,37241723.144071735,28362534.344176773,45153417.28407899
sp|P13674|P4HA1_HUMAN,76121978.34429792,71141976.1490688,74328670.05347511,72935284.43989158
sp|Q9UJU6|DBNL_HUMAN,154386803.27919903,132542649.44536893,157384043.0695091,129545409.65505885
sp|P36543|VATE1_HUMAN,56540410.273418374,58659136.29335203,56250053.653743766,58949492.91302663
sp|Q8N0X7|SPART_HUMAN,14946097.076098545,15187747.429936731,16898628.538444117,13235215.967591159
sp|P62913|RL11_HUMAN,373630291.21125674,369233462.94559306,432344269.31473184,310519484.8421179
sp|Q86TU7|SETD3_HUMAN,4932139.633829652,3703035.4219987225,4505236.101978012,4129938.9538503606
sp|P09110|THIK_HUMAN,45270931.66512518,45027368.208378226,43040393.88741043,47257905.986092985
sp|Q14257|RCN2_HUMAN,79644585.6814376,74740122.8988176,82010921.69478983,72373786.88546535
sp|Q06418|TYRO3_HUMAN,1509240.1621171618,,1509240.1621171618,
sp|Q8N543|OGFD1_HUMAN,35220399.191192724,32478042.508340105,38971711.757703945,28726729.94182889
sp|P11387|TOP1_HUMAN,19945157.475861963,20965565.964626975,21913174.47144783,18997548.96904111
sp|P52565|GDIR1_HUMAN,669082681.8273245,667176566.8247405,674042554.759968,662216693.8920966
sp|Q96B26|EXOS8_HUMAN,27391346.274904344,28991924.390996065,25380256.119640872,31003014.546259537
sp|Q9UHY7|ENOPH_HUMAN,39662595.79692829,36116714.903367214,37639665.14456636,38139645.555729136
sp|O95487|SC24B_HUMAN,5343793.285775942,3749575.347721293,5108497.419572975,3984871.21392426
sp|Q9H4A4|AMPB_HUMAN,119411615.76501963,126511955.61182272,115209834.09904775,130713737.27779461
sp|P48729|KC1A_HUMAN,14947454.236306911,16764843.386028053,19153414.355617896,12558883.266717067
sp|P21333|FLNA_HUMAN,10386584164.067068,10534463937.802252,10193609063.498768,10727439038.370552
P02769,10197637914.069353,10457302529.434078,9475284126.709194,11179656316.794239
sp|Q9UBB4|ATX10_HUMAN,147206033.51329377,149781268.95797887,148496073.02861273,148491229.4426599
sp|P67936|TPM4_HUMAN,1856684862.353303,1964936740.3150978,1665358159.145726,2156263443.5226746
sp|Q3LXA3|TKFC_HUMAN,41031198.14256543,40649835.58021609,41786386.55221966,39894647.17056185
sp|Q9BX68|HINT2_HUMAN,97569773.12973927,96487442.03023165,93314382.03387716,100742833.12609375
sp|P14735|IDE_HUMAN,27704919.18435242,27484974.499766685,24765960.52790767,30423933.15621144
sp|P14618|KPYM_HUMAN,4092487569.277369,4132409204.7617373,4112476147.716962,4112420626.322144
sp|Q9NUQ8|ABCF3_HUMAN,28270157.61380354,32276254.24942821,27311256.87112542,33235154.992106337
sp|Q9NZB2|F120A_HUMAN,59596968.81463777,58122737.24731413,61360053.179910116,56359652.88204178
sp|P14854|CX6B1_HUMAN,36762978.57106248,29067280.68091676,48428040.07801239,17402219.173966847
sp|O14617|AP3D1_HUMAN,25322014.474133454,24116665.386775233,25656270.801699657,23782409.05920903
sp|P20700|LMNB1_HUMAN,624376026.1432528,651013917.1804017,601696709.089101,673693234.2345538
sp|P26639|SYTC_HUMAN,1508701024.0507443,1470620838.142205,1501977252.0433533,1477344610.1495965
sp|Q14315|FLNC_HUMAN,266862286.35684836,279927406.0879904,263699035.12163326,283090657.3232055
sp|Q6UB35|C1TM_HUMAN,32067631.345532496,40954843.01559276,23270315.331566207,49752159.029559046
sp|O43896|KIF1C_HUMAN,2198403.4882889604,,2198403.4882889604,
sp|O95677|EYA4_HUMAN,3991181.7785208346,2184160.6040306427,3615034.2629323816,2560308.1196190957
sp|P54886|P5CS_HUMAN,130321714.21976991,133610590.45798908,133395929.94549122,130536374.73226778
sp|Q9BXP5|SRRT_HUMAN,132141416.06506537,130706836.76490551,120482680.77325615,142365572.0567147
sp|Q9BRG1|VPS25_HUMAN,6383950.843975102,6562388.829731324,7958443.950488495,4987895.723217931
sp|P33991|MCM4_HUMAN,404584133.2848553,404947212.33199316,407940255.5748136,401591090.04203486
sp|Q96SB4|SRPK1_HUMAN,40814960.171334565,42266913.22317005,41940294.33592654,41141579.05857807
sp|Q9UBF2|COPG2_HUMAN,3385903.942098791,2015777.9084185006,2436999.440116426,2964682.410400866
sp|Q14697|GANAB_HUMAN,1330082789.7243237,1355016323.7718902,1359608778.8494353,1325490334.6467786
"ENSEMBL:ENSBTAP00000007350,P01030",2869064.5615975773,2452813.278211375,3324245.5542255696,1997632.2855833825
sp|Q96QK1|VPS35_HUMAN,236487178.78144908,238377969.69384116,328931472.58375764,145933675.8915327
sp|P23246|SFPQ_HUMAN,944314787.9022684,941067814.5480657,864179018.9838389,1021203583.466495
sp|Q8WXF1|PSPC1_HUMAN,55924029.76830621,57526221.043648496,58107564.66930172,55342686.142652996
sp|Q13523|PRP4B_HUMAN,28437806.67975755,28406072.229358707,29789945.526671313,27053933.382444937
sp|Q9BW71|HIRP3_HUMAN,950903.9946591808,695291.5711623109,950903.9946591806,695291.5711623108
sp|P07741|APT_HUMAN,85118185.18435195,78132451.79852685,75454427.43303065,87796209.54984814
sp|Q16204|CCDC6_HUMAN,45770231.38520113,42471855.55668667,44340550.52413718,43901536.41775063
sp|Q01082|SPTB2_HUMAN,1654169627.0165064,1674349180.6096647,1643158136.4564795,1685360671.1696916
sp|Q9BYT8|NEUL_HUMAN,67214593.34467253,66771660.35132553,74911348.78040788,59074904.91559018
sp|Q13907|IDI1_HUMAN,87031152.50799897,86935805.33947806,81757625.33282986,92209332.51464719
sp|Q9UQE7|SMC3_HUMAN,178393956.55168685,181133465.8385916,186403609.7755355,173123812.61474293
sp|P46939|UTRO_HUMAN,,,2343190.160257066,23031888.199237276
sp|P15924|DESP_HUMAN,27395034.97575854,28914494.264956616,28223190.42684441,28086338.81387075
sp|Q9HB71|CYBP_HUMAN,723915589.9191988,770340899.3160596,697866817.8169911,796389671.4182673
sp|Q8WX92|NELFB_HUMAN,16572719.723433625,16367048.523211617,17125751.477292158,15814016.769353088
sp|P05455|LA_HUMAN,468527690.29555255,472608386.49263567,479174738.00921065,461961338.7789775
sp|P23396|RS3_HUMAN,1025444042.1368656,1058979211.0888628,1013587597.5843298,1070835655.6413984
sp|O00231|PSD11_HUMAN,261173567.286058,247967474.23579365,269070729.31378186,240070312.2080698
sp|Q16890|TPD53_HUMAN,22641185.84581857,21525945.96893195,18267781.04265865,25899350.77209187
sp|Q96ST3|SIN3A_HUMAN,9656556.559867587,9612985.42033973,8605158.005457606,10664383.97474971
sp|Q8WZ82|OVCA2_HUMAN,12370089.126374342,11807491.875117403,12108106.416521417,12069474.584970322
sp|O60610|DIAP1_HUMAN,208986072.5325938,209933635.53377125,253652502.52750197,165267205.53886306
sp|Q9HB40|RISC_HUMAN,4637861.347449161,4846745.518407213,5247486.361817647,4237120.504038727
sp|P07942|LAMB1_HUMAN,53131603.349941805,53445057.2444043,52999390.723577686,53577269.87076843
sp|P59998|ARPC4_HUMAN,117031565.3941695,120391149.07301004,109145684.12372893,128277030.34345059
sp|O94992|HEXI1_HUMAN,50373732.903120406,46835318.47164429,52315099.46149,44893951.91327472
REV__sp|Q8NEM7|SP20H_HUMAN,1314553.8980282375,,1314553.8980282375,
sp|P46459|NSF_HUMAN,116530152.87054673,129838365.81413794,117262152.76000424,129106365.92468043
sp|P61088|UBE2N_HUMAN,214154620.1901404,226745094.3484744,206896033.732401,234003680.80621383
sp|P41252|SYIC_HUMAN,449219287.02096385,448544396.731427,489191759.99922705,408571923.7531639
sp|P61158|ARP3_HUMAN,449068250.0895366,458474369.6869964,476717580.2990952,430825039.4774378
sp|P80723|BASP1_HUMAN,840555743.0851661,761472489.2771114,842068703.0054619,759959529.3568157
sp|O95777|LSM8_HUMAN,31820447.94089112,29469724.171425894,33424795.762646485,27865376.349670526
sp|Q9UHD1|CHRD1_HUMAN,217800944.12882102,217616858.31377757,222557540.24032268,212860262.20227596
sp|Q12906|ILF3_HUMAN,718890193.4544903,718437726.1323029,735693641.4880227,701634278.0987703
sp|P09874|PARP1_HUMAN,511519165.581409,527220170.91461277,496021179.0677171,542718157.4283047
sp|Q9BUJ2|HNRL1_HUMAN,211846820.84904063,215339114.26882908,203980458.53579575,223205476.58207393
sp|Q6YHK3|CD109_HUMAN,72775585.5889158,71791228.43109475,69622156.47252025,74944657.54749027
sp|Q9NZI8|IF2B1_HUMAN,131816218.24989472,143763249.9320579,126123199.71580942,149456268.4661432
sp|Q02218|ODO1_HUMAN,77585237.54122037,74280155.53495267,83046891.33568513,68818501.74048786
sp|Q9UJZ1|STML2_HUMAN,109027849.30428505,118948995.56422263,102416525.11587052,125560319.75263718
sp|Q9NQ29|LUC7L_HUMAN,23452479.1482167,23116897.590461183,22273913.77964218,24295462.959035695
sp|Q9UDY2|ZO2_HUMAN,21292587.759826552,25604290.81237114,25429775.36044928,21467103.211748406
sp|O75400|PR40A_HUMAN,68976041.27904671,72123761.14752758,67555348.30779208,73544454.1187822
sp|Q15437|SC23B_HUMAN,32592597.873296306,34267879.67112672,34401531.797296435,32458945.747126594
sp|P34932|HSP74_HUMAN,941098195.7849855,973868837.5990971,954101640.2582525,960865393.12583
sp|P13798|ACPH_HUMAN,88812095.68236005,94243216.14789945,87803435.31747045,95251876.51278907
sp|O43719|HTSF1_HUMAN,81534965.2887988,77980057.96814394,75036951.81656672,84478071.44037603
sp|Q14203|DCTN1_HUMAN,176486349.22368395,171455716.77445927,171850741.7561577,176091324.24198553
sp|P13797|PLST_HUMAN,1942353142.0482116,2003210332.130946,1818737587.379664,2126825886.7994936
sp|Q13098|CSN1_HUMAN,86197821.08871181,90698785.27127144,90763236.15958977,86133370.2003935
sp|Q96EE3|SEH1_HUMAN,53836773.6549609,50944210.201536216,51089239.055882215,53691744.8006149
sp|P18858|DNLI1_HUMAN,28191083.256872553,22368851.082388826,32125159.23881423,18434775.10044715
Q28107,24277267.802844334,23292030.371201243,24432734.51454179,23136563.65950379
sp|Q7L5D6|GET4_HUMAN,8429614.049184455,9050631.529143957,9600008.249168243,7880237.32916017
sp|Q13769|THOC5_HUMAN,21589289.443347447,12260132.224037645,15498537.691986654,18350883.97539844
sp|Q8IU85|KCC1D_HUMAN,7294292.985967011,7428762.635516437,7080007.90360404,7643047.717879407
sp|P22234|PUR6_HUMAN,643343668.2381033,635436747.0738206,632793654.3608693,645986760.9510545
sp|Q99615|DNJC7_HUMAN,151018600.91368154,160087146.1862305,151517295.78369376,159588451.31621826
sp|P13984|T2FB_HUMAN,27251137.51035121,26082820.619057957,27111805.817302212,26222152.312106956
sp|P61601|NCALD_HUMAN,967252.1512649973,,967252.1512649973,
sp|P30084|ECHM_HUMAN,269735180.5191958,250287846.63925892,252988357.36616153,267034669.7922932
sp|P35241|RADI_HUMAN,139634206.51274747,143743927.2490232,138374893.60373095,145003240.15803972
sp|O75179|ANR17_HUMAN,23702595.651405085,29632632.081163526,26403831.892534018,26931395.840034597
sp|Q9BXJ9|NAA15_HUMAN,90452541.84690821,97935675.93378977,85919632.2358494,102468585.54484859
sp|Q14166|TTL12_HUMAN,218384730.62263262,224277068.75549486,213696684.6133864,228965114.76474103
sp|O95373|IPO7_HUMAN,300390890.8128094,295765593.75632936,286897916.63894784,309258567.93019086
sp|O60271|JIP4_HUMAN,38739416.684949376,39653217.50681622,37517216.26950862,40875417.92225697
sp|Q8N1F7|NUP93_HUMAN,104360581.95017704,107299295.13901559,103277936.45020266,108381940.63898996
sp|Q9Y3D9|RT23_HUMAN,13742074.278190374,13287745.011199953,12394057.442623794,14635761.846766531
sp|Q96G03|PGM2_HUMAN,50325640.33797025,52635220.619246185,46304241.62421551,56656619.33300091
sp|P53396|ACLY_HUMAN,2490076394.335851,2509056819.577739,2356452756.2248235,2642680457.6887665
sp|O43847|NRDC_HUMAN,55531476.63254459,55930428.08480442,58948306.23683014,52513598.48051888
sp|Q9NTK5|OLA1_HUMAN,291016700.3963628,273011199.01770395,307432825.11518633,256595074.2988805
sp|O43818|U3IP2_HUMAN,20190620.012213934,18793451.36455296,22022967.756758943,16961103.62000795
sp|O43929|ORC4_HUMAN,2866046.512865978,2960161.595890302,2866046.5128659774,2960161.595890302
sp|P25788|PSA3_HUMAN,141318117.45910478,129584611.48666917,136247953.68639317,134654775.2593808
sp|O75828|CBR3_HUMAN,25667633.395518776,26683488.452074245,26897806.206247594,25453315.641345434
sp|Q6UUV7|CRTC3_HUMAN,894351.6294680597,661703.7299395695,894351.6294680596,661703.7299395695
sp|Q96FW1|OTUB1_HUMAN,179119056.53696808,172673858.94068986,177492414.76554355,174300500.7121144
sp|P06493|CDK1_HUMAN,191332255.85164627,201056886.63715646,183257495.62320533,209131646.8655974
sp|Q9Y520|PRC2C_HUMAN,71361493.7299978,73718425.98453423,70342574.48906796,74737345.22546409
sp|Q13620|CUL4B_HUMAN,68171659.42361419,72917081.66955616,70097492.56536849,70991248.52780187
sp|P17987|TCPA_HUMAN,867706323.697426,872956047.4703923,804719716.7070229,935942654.460795
sp|Q9NVZ3|NECP2_HUMAN,14198336.799101224,14464358.772406368,14541764.632429883,14120930.939077709
sp|P47897|SYQ_HUMAN,286018160.5628928,298605717.35283536,286319150.6729932,298304727.24273497
sp|P61421|VA0D1_HUMAN,30143611.022290353,32950437.171389434,32042366.23183209,31051681.961847708
sp|Q15029|U5S1_HUMAN,437939426.0576023,446598928.97257006,444048404.7696715,440489950.26050085
sp|Q8NHP8|PLBL2_HUMAN,12695578.827360634,12633958.715424484,9983214.141363457,15346323.401421659
sp|P09211|GSTP1_HUMAN,715892869.0723739,779261408.2835356,824121553.7423594,671032723.61355
sp|Q12931|TRAP1_HUMAN,452436126.8154414,462639424.02022064,675718840.134855,239356710.70080703
sp|Q9H7Z7|PGES2_HUMAN,38600636.55315258,47144867.248619616,42922171.61686379,42823332.18490843
sp|P53041|PPP5_HUMAN,98093196.75408506,94822743.16114785,105007578.64315037,87908361.27208255
sp|Q00610|CLH1_HUMAN,2588571512.2390122,2551793951.149548,2574266187.78162,2566099275.6069403
sp|O95983|MBD3_HUMAN,12658664.775703533,11205147.335920392,13573131.905316409,10290680.206307516
sp|Q92598|HS105_HUMAN,440683002.3274898,452545576.6740745,425437503.77567554,467791075.2258887
sp|P46060|RAGP1_HUMAN,173029826.6695029,180970637.3165226,165749508.53116298,188250955.45486253
sp|P13807|GYS1_HUMAN,13065092.730319308,13089940.707257561,12326907.762269063,13828125.675307803
sp|Q16719|KYNU_HUMAN,227052107.80758187,240302537.88547054,216650566.377467,250704079.31558543
sp|Q6UN15|FIP1_HUMAN,24247610.42394988,20084448.46626567,29268845.40742576,15063213.48278979
sp|P55786|PSA_HUMAN,304141036.20588416,307560443.37479293,293208890.96740043,318492588.61327654
sp|Q9H814|PHAX_HUMAN,26631078.0014646,29284018.28616687,25945419.205331508,29969677.082299955
sp|O60506|HNRPQ_HUMAN,708235735.4632452,709179790.5092204,727705829.225042,689709696.7474234
sp|P11279|LAMP1_HUMAN,22346607.806644186,22992510.46581274,26898149.95722487,18440968.315232057
sp|P31939|PUR9_HUMAN,846899252.40957,852121386.4962925,860619153.6186852,838401485.2871772
sp|Q15067|ACOX1_HUMAN,15954655.754421402,17174982.127907887,14954913.85885264,18174724.02347665
sp|Q07021|C1QBP_HUMAN,299598698.9172579,298749136.0641042,321096292.3452442,277251542.6361178
sp|O94763|RMP_HUMAN,1012572.5023249325,784699.3006830236,1012572.5023249324,784699.3006830235
sp|P68366|TBA4A_HUMAN,3827562985.1458597,3760975752.7665334,4038617455.215874,3549921282.69652
sp|O95394|AGM1_HUMAN,35433527.34311003,35770410.719775684,34843823.295071036,36360114.76781468
sp|Q9UL46|PSME2_HUMAN,134651015.21009877,137117541.866384,136653280.9063871,135115276.17009568
sp|Q9NR12|PDLI7_HUMAN,213629284.7818217,214510105.28072044,209460106.60275877,218679283.45978343
sp|Q9P2N5|RBM27_HUMAN,7454504.347349219,8643106.772720389,10400031.37080735,5697579.74926226
sp|Q16270|IBP7_HUMAN,34430522.73749886,33851100.59200968,31491518.155855045,36790105.1736535
sp|Q8WW12|PCNP_HUMAN,85022915.89245157,87317915.11941868,85039948.70289142,87300882.30897881
sp|O75962|TRIO_HUMAN,10101608.946817815,9980424.02727393,11275916.787809616,8806116.186282128
sp|Q96AY3|FKB10_HUMAN,209501268.700107,211850926.50362766,222964632.5200817,198387562.68365294
sp|O95865|DDAH2_HUMAN,3628930.1506792298,8405850.176862987,3567695.96040306,8467084.367139155
sp|Q9NWH9|SLTM_HUMAN,22602267.30703314,22235370.119970452,23200438.945583496,21637198.4814201
sp|P40926|MDHM_HUMAN,1164929403.478773,1155232022.8889303,1110129673.0055907,1210031753.362113
sp|P04406|G3P_HUMAN,8202623755.252969,7939274044.587453,8367235733.524067,7774662066.316355
sp|P05388|RLA0_HUMAN,677317249.5044658,749516689.469672,672130384.8709798,754703554.1031579
ENSEMBL:ENSBTAP00000024146,446455192.20574236,458369026.03301,450271732.13353837,454552486.1052139
sp|P08648|ITA5_HUMAN,60503688.59493211,63733833.19606555,57180638.65418653,67056883.13681114
sp|Q16836|HCDH_HUMAN,105729191.203401,103315468.38452834,103169833.51091075,105874826.07701856
sp|P14923|PLAK_HUMAN,120472101.32924107,126212490.2466738,113179920.50298175,133504671.07293311
sp|P21912|SDHB_HUMAN,16525758.474288201,17976950.644421134,18612690.795709215,15890018.323000116
sp|Q68CZ2|TENS3_HUMAN,10680792.526820749,10553908.482970852,9706285.93417674,11528415.075614862
sp|P51858|HDGF_HUMAN,907147727.8392847,943133509.6290154,890939370.648567,959341866.8197329
sp|Q9BR76|COR1B_HUMAN,45909192.38625875,49918471.90145602,50225622.855611145,45602041.432103634
sp|Q13501|SQSTM_HUMAN,74950749.64861421,77237412.39332625,70710671.95314133,81477490.08879915
